01/01/2018,,Hours,2018,2019,2020,2021,2022
01/01/2018 00:00,01/01/2018 01:00,1,42.94,60.12,39.94,61.45,115.95
01/01/2018 01:00,01/01/2018 02:00,2,47.14,55.76,43.45,65.73,149.98
01/01/2018 02:00,01/01/2018 03:00,3,54.6,46.23,41.12,64.96,99.99
01/01/2018 03:00,01/01/2018 04:00,4,46.63,44.1,29.98,60.47,25.05
01/01/2018 04:00,01/01/2018 05:00,5,39.9,44.41,27.1,52.5,7.85
01/01/2018 05:00,01/01/2018 06:00,6,23.41,46.03,26.37,48.98,-10
01/01/2018 06:00,01/01/2018 07:00,7,23.61,51,26.32,48.95,-25
01/01/2018 07:00,01/01/2018 08:00,8,29.96,39,26.24,48.96,-24.98
01/01/2018 08:00,01/01/2018 09:00,9,24.09,44.17,26.92,52.02,-50
01/01/2018 09:00,01/01/2018 10:00,10,24.14,51.3,27.97,51.05,-39.19
01/01/2018 10:00,01/01/2018 11:00,11,42,57.94,32.6,55.47,0.01
01/01/2018 11:00,01/01/2018 12:00,12,57,54.09,38,57,20
01/01/2018 12:00,01/01/2018 13:00,13,43.4,57.95,44.53,60.72,58.61
01/01/2018 13:00,01/01/2018 14:00,14,51.86,65.85,40,62.41,90.17
01/01/2018 14:00,01/01/2018 15:00,15,55,70,40,68.6,100
01/01/2018 15:00,01/01/2018 16:00,16,55,48.9,39.69,68.6,102.16
01/01/2018 16:00,01/01/2018 17:00,17,57.88,69.93,37,59.04,103.61
01/01/2018 17:00,01/01/2018 18:00,18,57.97,84.84,50.2,70.07,155.43
01/01/2018 18:00,01/01/2018 19:00,19,75.1,70.57,53.3,100.07,207.68
01/01/2018 19:00,01/01/2018 20:00,20,57.97,69,43,70.82,156.48
01/01/2018 20:00,01/01/2018 21:00,21,51.49,60.43,41.14,71.22,124.92
01/01/2018 21:00,01/01/2018 22:00,22,55.44,53.89,36,60.51,127.38
01/01/2018 22:00,01/01/2018 23:00,23,50.54,50.44,35.92,59.24,100
01/01/2018 23:00,02/01/2018 00:00,24,38.46,49.01,32,56.96,73.12
02/01/2018 00:00,02/01/2018 01:00,25,33.96,51.96,30.71,57.95,62.01
02/01/2018 01:00,02/01/2018 02:00,26,44.88,52.45,27.74,63.91,46.59
02/01/2018 02:00,02/01/2018 03:00,27,49.95,49.92,26.46,66.12,32.5
02/01/2018 03:00,02/01/2018 04:00,28,46.72,48.53,23.83,59.28,10
02/01/2018 04:00,02/01/2018 05:00,29,46.71,47.99,23.46,54.96,6
02/01/2018 05:00,02/01/2018 06:00,30,45.82,50.05,23.63,49.65,5.01
02/01/2018 06:00,02/01/2018 07:00,31,45.66,62.82,28.08,49.2,5.2
02/01/2018 07:00,02/01/2018 08:00,32,52,50.04,34.83,56.91,4.72
02/01/2018 08:00,02/01/2018 09:00,33,43.87,53,36.9,51.04,9.92
02/01/2018 09:00,02/01/2018 10:00,34,56.15,56.37,37.36,59.32,37.19
02/01/2018 10:00,02/01/2018 11:00,35,61.92,58.71,37.72,60.57,66.1
02/01/2018 11:00,02/01/2018 12:00,36,56.33,57.95,39.12,59.02,86
02/01/2018 12:00,02/01/2018 13:00,37,56.15,63.44,39.17,63.4,71.01
02/01/2018 13:00,02/01/2018 14:00,38,55.35,62.94,38.95,67.64,74.08
02/01/2018 14:00,02/01/2018 15:00,39,44.81,63.93,38.22,66.22,67.23
02/01/2018 15:00,02/01/2018 16:00,40,42.74,65,38.12,62.93,82.11
02/01/2018 16:00,02/01/2018 17:00,41,44.91,81.1,38.49,57.67,56.08
02/01/2018 17:00,02/01/2018 18:00,42,60,109.95,40.23,82.43,124.91
02/01/2018 18:00,02/01/2018 19:00,43,76.01,85,45.9,114.98,148.9
02/01/2018 19:00,02/01/2018 20:00,44,60,79.94,40,87.56,120
02/01/2018 20:00,02/01/2018 21:00,45,65.35,66,37.91,73.87,86.83
02/01/2018 21:00,02/01/2018 22:00,46,60,55.93,32,61.51,64.66
02/01/2018 22:00,02/01/2018 23:00,47,48.67,50.11,28.65,60.58,83.03
02/01/2018 23:00,03/01/2018 00:00,48,42,55,27.64,57.05,0
03/01/2018 00:00,03/01/2018 01:00,49,47.58,54.99,26.55,55.92,-12.67
03/01/2018 01:00,03/01/2018 02:00,50,49,55,25.47,56.15,-9.99
03/01/2018 02:00,03/01/2018 03:00,51,49.06,54.92,24.05,60.26,-13.62
03/01/2018 03:00,03/01/2018 04:00,52,45.44,51.08,21.67,57.76,-20.04
03/01/2018 04:00,03/01/2018 05:00,53,40.6,51,19.58,51.34,-24.99
03/01/2018 05:00,03/01/2018 06:00,54,35,51.91,22.71,46.57,-14.73
03/01/2018 06:00,03/01/2018 07:00,55,42,61.4,27.09,39.88,19.9
03/01/2018 07:00,03/01/2018 08:00,56,48.99,62.74,36.51,48.95,67.99
03/01/2018 08:00,03/01/2018 09:00,57,44.03,70.2,35.43,38.44,28.2
03/01/2018 09:00,03/01/2018 10:00,58,50.58,74,40,55.05,89.8
03/01/2018 10:00,03/01/2018 11:00,59,54.99,69,43,55.1,65.6
03/01/2018 11:00,03/01/2018 12:00,60,48.87,70,42.98,55.6,73
03/01/2018 12:00,03/01/2018 13:00,61,49,65.3,39.25,59.93,76.47
